title,url,source_date,source,year,query
Top Canadian and international stories of 2017,https://infotel.ca/newsitem/top-stories-of-2017/it49062,20180101T204500Z,infotel.ca,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Top stories of 2017,http://northeastnow.com/article/509399/top-stories-2017,20180101T160000Z,northeastnow.com,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
"2017 was LGBTI people best year , Alex Greenwich",https://www.dailytelegraph.com.au/rendezview/why-2017-marked-a-watershed-for-lgbti-people/news-story/4f0244e5bf4c2fc2edf1dafbb20a0ab4?nk=4a00e8a252e3ce7d617a91350949584b-1514806330,20180101T114500Z,dailytelegraph.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
"2017 was LGBTI people best year , Alex Greenwich",https://www.dailytelegraph.com.au/rendezview/why-2017-marked-a-watershed-for-lgbti-people/news-story/4f0244e5bf4c2fc2edf1dafbb20a0ab4?nk=422651a724a74dc89b2e035becfaf549-1514802784,20180101T104500Z,dailytelegraph.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
"2017 was LGBTI people best year , Alex Greenwich",https://www.dailytelegraph.com.au/rendezview/why-2017-marked-a-watershed-for-lgbti-people/news-story/4f0244e5bf4c2fc2edf1dafbb20a0ab4?nk=2b94d89c5ac88d20dc282c2a6616bb2f-1514799096,20180101T094500Z,dailytelegraph.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
"2017 was LGBTI people best year , Alex Greenwich",https://www.dailytelegraph.com.au/rendezview/why-2017-marked-a-watershed-for-lgbti-people/news-story/4f0244e5bf4c2fc2edf1dafbb20a0ab4?nk=c26ac3867fbf49bd9f47aae309d6f7e8-1514798237,20180101T093000Z,dailytelegraph.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
"2017 was LGBTI people best year , Alex Greenwich",https://www.dailytelegraph.com.au/rendezview/why-2017-marked-a-watershed-for-lgbti-people/news-story/4f0244e5bf4c2fc2edf1dafbb20a0ab4?nk=94d612a1e3a107b80f5a6eaf8268c580-1514796386,20180101T090000Z,dailytelegraph.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
A look back at the year that was . News rewind of 2017,https://saultonline.com/2017/12/a-look-back-at-the-year-that-was-news-rewind-of-2017/,20180101T061500Z,saultonline.com,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.frasercoastchronicle.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T054500Z,frasercoastchronicle.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.dailymercury.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T053000Z,dailymercury.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.gympietimes.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T053000Z,gympietimes.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.qt.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T053000Z,qt.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.noosanews.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T053000Z,noosanews.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.whitsundaytimes.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T051500Z,whitsundaytimes.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.centraltelegraph.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T051500Z,centraltelegraph.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.news-mail.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T050000Z,news-mail.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.themorningbulletin.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T050000Z,themorningbulletin.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.dailyexaminer.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T050000Z,dailyexaminer.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.thechronicle.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T041500Z,thechronicle.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.ballinaadvocate.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T040000Z,ballinaadvocate.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Why 2017 marked a watershed for LGBTI people,https://www.ipswichadvertiser.com.au/news/why-2017-marked-a-watershed-for-lgbti-people/3301340/,20180101T040000Z,ipswichadvertiser.com.au,2017,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
