is_hate_crime,incident_type,victim_identity,location,date_of_incident,description,confidence,article_url,article_title,publication_date,source_name,historical_context,incident_id,source_authority_level,archival_status,verification_status
True,assault,unknown,"Crown Heights, Brooklyn",15 02 2019,Two Jews were attacked while walking in the Crown Heights section of Brooklyn.,1.0,http://www.jewishledger.com/2019/12/world-news-2019/,WORLD NEWS 2019,20191218T181500Z,jewishledger.com,The term 'Jews' in historical context may encompass individuals from the Jewish LGBTQ+ community.,HIST_2019_UNK_001,6,digitized,single-source
True,vandalism,general_lgbtiq,"University of Georgia, Georgia College and State University, Milledgeville, Georgia",01 12 2019,"Swastikas were found drawn on message boards in student halls at the University of Georgia and Georgia College and State University in Milledgeville, sparking fears among students and parents. The incidents are part of a rise in hate crimes on campuses across the US.",1.0,https://www.independent.co.uk/news/world/americas/swastika-georgia-university-campuses-antisemitism-students-safety-fears-a9228061.html,Swastikas found on Georgia university campuses spark concern among students and parents,20191201T153000Z,independent.co.uk,"The article describes incidents of swastikas being drawn on university campuses in Georgia. While the article does not explicitly mention an LGBTIQ+ target, the historical context suggests that such symbols can be associated with hate crimes against various marginalized communities, including the LGBTIQ+ community.",HIST_2019_UNK_002,6,digitized,single-source
True,discrimination,general_lgbtiq,not specified,26 11 2019,"The Indonesian Ministries of Defense and Trade, along with the Attorney General’s Office, implemented a ban on LGBTQ+ job seekers, stating that applicants must not show sexual orientation or behavioral deviations. This discriminatory policy sparked outrage among LGBTQ+ individuals in Indonesia.",1.0,https://www.ibtimes.com/indonesia-spark-outrage-ban-lgbtq-job-seekers-2873044,Indonesia Spark Outrage With Ban On LGBTQ+ Job Seekers,20191126T050000Z,ibtimes.com,"The article describes a discriminatory policy against LGBTQ+ individuals in Indonesia, which does not involve criminal behavior but is based on harmful discrimination.",HIST_2019_UNK_003,6,digitized,single-source
True,assault,unknown,"Howard Drive, Monsey, Ramapo, Rockland County",21 11 2019,"An Orthodox Jewish man was stabbed and slashed outside a local synagogue in Monsey, Rockland County. The victim was approached from behind early Wednesday and attacked by at least one person, leaving him with multiple wounds.",1.0,https://www.independent.co.uk/news/world/americas/jewish-synagogue-stabbing-hate-crime-antisemitism-racism-new-york-a9211721.html,Man stabbed and slashed outside synagogue in suspected hate crime,20191121T104500Z,independent.co.uk,"The article does not specify the victim's sexual orientation or gender identity, focusing on the anti-Semitic nature of the attack. The terminology used reflects the historical context of the article.",HIST_2019_WA_004,6,digitized,single-source
True,assault,general_lgbtiq,"Milwaukee, Wisconsin",07 11 2019,"A 61-year-old man sprayed acid in the face of a 42-year-old US citizen of Hispanic descent, causing second-degree burns. The attacker made racist remarks and targeted the victim based on his ethnicity, leading to a hate crime charge.",1.0,https://www.independent.co.uk/news/world/americas/milwaukee-acid-attack-hate-crime-wisconsin-clifton-blackwell-mahud-villalaz-court-a9188871.html,Hate crime charge after man  throws acid in US citizen face and tells him to go back to his own country  ,20191107T111500Z,independent.co.uk,"The article describes a hate crime incident targeting a Hispanic individual. While the victim's specific sexual orientation or gender identity is not mentioned, the attack was motivated by racial discrimination, falling under the umbrella of hate crimes against the general LGBTIQ+ community.",HIST_2019_WA_005,6,digitized,single-source
True,hate_speech,general_lgbtiq,"Oslo, Norway",03 11 2019,"Greg Johnson, a white supremacist with extreme right-wing ideology, was detained in Norway before a far-right conference. He has expressed anti-Semitic and racist views, promoting white-only states. Protesters chanted against racism at the event.",0.9,https://www.independent.co.uk/news/world/europe/greg-johnson-arrested-far-right-deported-norway-scandza-forum-a9183696.html,US white supremacist arrested hours before far - right conference in Norway,20191103T231500Z,independent.co.uk,The article does not describe a specific criminal incident targeting an individual or community based on their LGBTIQ+ identity. The focus is on hate speech and extreme right-wing ideology.,HIST_2019_WA_006,6,digitized,single-source
True,murder,gay_man,"New York City, New York",15 10 2017,"Abel Cedeno, a gay New York teenager, stabbed a classmate to death after enduring years of homophobic bullying. The incident led to a two-year trial that divided the city and sparked a media frenzy.",1.0,https://www.theguardian.com/tv-and-radio/2019/oct/29/tv-tonight-whose-souffle-will-rise-in-the-bake-off-final,TV tonight : whose soufflé will rise in the Bake off final ? ,20191029T064500Z,theguardian.com,"The article describes a specific incident targeting a gay individual involving criminal behavior, meeting the criteria for a hate crime.",HIST_2017_UNK_007,6,digitized,single-source
True,hate_speech,general_lgbtiq,"Chicago, Illinois",28 10 2019,"During a speech in Chicago, President Trump referenced actor Jussie Smollett's staged hate crime incident, calling it a 'scam' and comparing it to the impeachment probe. Trump's comments were seen as derogatory towards the LGBTIQ+ community.",0.9,https://www.independent.co.uk/news/world/americas/us-politics/trump-chicago-dayton-shooter-sanctuary-cities-visit-police-chief-a9175086.html,Trump imitates Dayton shooting during first visit to Chicago as president,20191028T224500Z,independent.co.uk,"The article discusses President Trump's controversial remarks regarding Jussie Smollett's case, which was initially reported as a hate crime but later revealed to be staged. The terminology used in the article aligns with historical context.",HIST_2019_UNK_008,6,digitized,single-source
True,threat,general_lgbtiq,"Las Vegas, Nevada",22 10 2019,"Conor Climo, a Las Vegas man, plotted attacks on a synagogue and LGBT bar, indicating a threat towards the LGBTIQ+ community.",1.0,http://www.thedailybeast.com/white-supremacists-operate-like-isisand-us-law-lets-them,White Supremacists Operate Like ISIS and U . S . Law Lets Them,20191022T124500Z,thedailybeast.com,"The article discusses far-right terrorist threats towards the LGBTIQ+ community, using terminology and context relevant to the time period.",HIST_2019_UNK_009,6,digitized,single-source
True,threat,general_lgbtiq,"Las Vegas, Nevada",22 10 2019,"Conor Climo, a Las Vegas man, plotted attacks on a synagogue and LGBT bar, indicating a threat towards the LGBTIQ+ community.",1.0,https://news.yahoo.com/terror-gap-u-laws-let-090054818.html,The Terror Gap : U . S . Laws Let White Supremacists Operate Like ISIS,20191022T120000Z,news.yahoo.com,"The article discusses far-right terrorist threats towards the LGBTIQ+ community, using terminology and context relevant to the time period.",HIST_2019_UNK_010,6,digitized,single-source
True,hate_speech,general_lgbtiq,"Christchurch, Auckland",17 10 2019,"American pastor Steven Anderson, known for hate speech against various groups including LGBTIQ+ individuals, was denied entry to New Zealand on character grounds, preventing him from preaching in Christchurch and Auckland. His past sermons included advocating for homosexuality to be a crime punishable by death.",1.0,https://thespinoff.co.nz/society/21-10-2019/hate-peddling-us-pastor-steven-anderson-blocked-from-new-zealand/,Hate - peddling US pastor Steven Anderson blocked from New Zealand,20191021T054500Z,thespinoff.co.nz,"The terminology and context of the article align with the historical period (2005-2019), where terms like 'homosexual' and 'transsexual' were more commonly used.",HIST_2019_UNK_011,6,digitized,single-source
