title,url,source_date,incident_type,date,location,victim_identity,description,severity,perpetrator_info,latitude,longitude,year_found,found_at,search_query
Australia | Incendios forestales | Steven Anderson | Pastor anti - gay afirma que desastres naturales es castigo de Dios porque fue expulsado del país | homosexualidad | LGBTI | rddr | Mundo,https://larepublica.pe/mundo/2020/01/07/australia-incendios-forestales-steven-anderson-pastor-anti-gay-afirma-que-desastres-naturales-es-castigo-de-dios-porque-fue-expulsado-del-pais-homosexualidad-lgbti-rddr/,20200107T153000Z,hate_speech,,Australia,LGBTI,"Pastor Steven Anderson, known for his anti-gay views, claimed that natural disasters in Australia were punishment from God because he was banned from the country. This statement targets the LGBTI community and spreads hate towards them.",medium,Pastor Steven Anderson,-24.7761086,134.755,,,
Andy Meddick transgender daughter Kielan attacked on the street | news . com . au Australia leading news site,https://www.news.com.au/national/victoria/andy-meddicks-daughter-kielan-attacked-on-the-street/news-story/3b9a619864793bed195d8227d875d319,20211119T053000Z,assault,,street+suburb,transgender,Andy Meddick's transgender daughter Kielan was physically attacked on the street in an apparent hate crime incident.,high,Perpetrator details not mentioned,-33.8336704,146.2593634,,,
Rainbow Story Time with drag queen Betty Confetti cancelled after threats received | The Canberra Times,https://www.canberratimes.com.au/story/8197237/it-ties-everyones-hands-goulburn-drag-reading-pulled-after-threats/?cs=14329,20230516T030000Z,threat,,Canberra,general_lgbtiq,Rainbow Story Time with drag queen Betty Confetti was cancelled after receiving threats. The event aimed to promote inclusivity and diversity through storytelling for children and families in the community.,low,,-35.2975906,149.1012676,,,
Newcastle family of gay hate crime victim John Russell wait on final report | Gloucester Advocate,https://www.gloucesteradvocate.com.au/story/8271498/never-ending-grief-for-hunter-family-of-gay-hate-crime-victim/?cs=305,20230717T010000Z,assault,,Newcastle,gay,"The family of John Russell, a gay hate crime victim, is waiting on the final report regarding the incident in Newcastle.",high,,-32.9192953,151.7795348,,,
Neo - Nazi leaders admit hiker attack but claim innocence,https://www.examiner.com.au/story/8402974/neo-nazi-leaders-admit-hiker-attack-but-claim-innocence/,20231027T121500Z,assault,,Blue Mountains National Park,unknown,"Neo-Nazi leaders have admitted to attacking a hiker in Blue Mountains National Park, but they claim innocence. The hiker was physically assaulted by the perpetrators.",high,Neo-Nazi leaders,-33.6190685,150.487634,,,
Police remove homophobic banners hung over Melbourne highway targeting Labor MP Julian Hill,https://www.aol.co.uk/police-remove-homophobic-banners-hung-031007458.html,20250411T043000Z,vandalism,,Melbourne highway,general_lgbtiq,Homophobic banners targeting Labor MP Julian Hill were hung over a Melbourne highway and later removed by police. The incident is being investigated as an act of vandalism.,medium,,-37.8136,144.9631,,,
Society Insider : Black Cap Ross Taylor launches wine brand ; The Curve Victoria Harris confirms new relationship ; Megan Alatini on homophobic abuse,https://www.nzherald.co.nz/lifestyle/society-insider-black-cap-ross-taylor-launches-wine-brand-the-curves-victoria-harris-confirms-new-relationship-megan-alatini-on-homophobic-abuse/B2ZFUQIGERCQ5OXSEGTT2WB6U4/,20250430T173000Z,hate_speech,,not specified,LGBTIQ+,Megan Alatini speaks out about experiencing homophobic abuse in the community.,medium,,-25.2744,133.7751,,,
Peter Keeley fatally assaulted after being lured via Grindr,https://www.9news.com.au/national/peter-keeley-teenagers-jailed-fatal-bashing-grindr-lure-sentenced/ab680488-43fe-4b83-abb1-c5b7b43a2b59,2020-07-01T00:00:00Z,assault,2020-07-01,"Broulee, NSW",gay,56-year-old Peter Keeley was lured via Grindr and fatally assaulted by teenagers. The perpetrators were later convicted of detaining Keeley with intent to commit grievous bodily harm.,high,Three teenagers,-35.8586,150.1792,,,
Canberra man assaulted by group after being lured via Grindr,https://www.abc.net.au/news/2024-08-08/grindr-in-communication-with-act-police-over-alleged-attacks/104199142,2024-07-15T00:00:00Z,assault,2024-07-15,"Canberra, ACT",gay,A man was assaulted by four individuals after being lured via Grindr in Canberra. The attack was part of a series of homophobic incidents in the area.,high,Four individuals,-35.2809,149.13,,,
Melbourne Grindr attacks - 13 individuals arrested,https://www.theguardian.com/australia-news/2024/oct/17/victoria-gay-men-grindr-dating-app-attacks-police-arrests-ntwnfb,2024-10-17T00:00:00Z,assault,2024-10-01,"Melbourne, Victoria",gay,"Victoria Police arrested 13 individuals for attacks on gay men lured via dating apps including Grindr. Victims were assaulted, robbed, and subjected to homophobic abuse.",high,"13 individuals arrested, primarily teenagers",-37.8136,144.9631,,,
