title,url,source_date,incident_type,date,location,victim_identity,description,severity,perpetrator_info,latitude,longitude
Andy Meddick transgender daughter Kielan attacked on the street | news . com . au Australia leading news site,https://www.news.com.au/national/victoria/andy-meddicks-daughter-kielan-attacked-on-the-street/news-story/3b9a619864793bed195d8227d875d319,20211119T053000Z,assault,,"Geelong, Victoria",transgender,Andy Meddick's transgender daughter Kielan was physically attacked on the street in an apparent hate crime incident.,high,Perpetrator details not mentioned,-38.1499,144.3617
Rainbow Story Time with drag queen Betty Confetti cancelled after threats received | The Canberra Times,https://www.canberratimes.com.au/story/8197237/it-ties-everyones-hands-goulburn-drag-reading-pulled-after-threats/?cs=14329,20230516T030000Z,threat,,Canberra,general_lgbtiq,Rainbow Story Time with drag queen Betty Confetti was cancelled after receiving threats. The event aimed to promote inclusivity and diversity through storytelling for children and families in the community.,low,,-35.2975906,149.1012676
Newcastle family of gay hate crime victim John Russell wait on final report | Gloucester Advocate,https://www.gloucesteradvocate.com.au/story/8271498/never-ending-grief-for-hunter-family-of-gay-hate-crime-victim/?cs=305,20230717T010000Z,assault,,Newcastle,gay,"The family of John Russell, a gay hate crime victim, is waiting on the final report regarding the incident in Newcastle.",high,,-32.9192953,151.7795348
Police remove homophobic banners hung over Melbourne highway targeting Labor MP Julian Hill,https://www.aol.co.uk/police-remove-homophobic-banners-hung-031007458.html,20250411T043000Z,vandalism,,"Monash Freeway, Melbourne",general_lgbtiq,Homophobic banners targeting Labor MP Julian Hill were hung over a Melbourne highway and later removed by police. The incident is being investigated as an act of vandalism.,medium,,-37.9167,145.2167
Peter Keeley fatally assaulted after being lured via Grindr,https://www.9news.com.au/national/peter-keeley-teenagers-jailed-fatal-bashing-grindr-lure-sentenced/ab680488-43fe-4b83-abb1-c5b7b43a2b59,2020-07-01T00:00:00Z,assault,2020-07-01,"Broulee, NSW",gay,56-year-old Peter Keeley was lured via Grindr and fatally assaulted by teenagers. The perpetrators were later convicted of detaining Keeley with intent to commit grievous bodily harm.,high,Three teenagers,-35.8586,150.1792
Canberra man assaulted by group after being lured via Grindr,https://www.abc.net.au/news/2024-08-08/grindr-in-communication-with-act-police-over-alleged-attacks/104199142,2024-07-15T00:00:00Z,assault,2024-07-15,"Canberra, ACT",gay,A man was assaulted by four individuals after being lured via Grindr in Canberra. The attack was part of a series of homophobic incidents in the area.,high,Four individuals,-35.2809,149.13
Melbourne Grindr attacks - 13 individuals arrested,https://www.theguardian.com/australia-news/2024/oct/17/victoria-gay-men-grindr-dating-app-attacks-police-arrests-ntwnfb,2024-10-17T00:00:00Z,assault,2024-10-01,"Melbourne, Victoria",gay,"Victoria Police arrested 13 individuals for attacks on gay men lured via dating apps including Grindr. Victims were assaulted, robbed, and subjected to homophobic abuse.",high,"13 individuals arrested, primarily teenagers",-37.8136,144.9631
Sydney Grindr robbery - victim 1 threatened and robbed,https://www.theguardian.com/australia-news/2025/may/21/sydney-men-jailed-gay-dating-app-grindr-robberies-ntwnfb,2023-06-01T00:00:00Z,assault,2023-06-01,"Sydney, NSW",gay,"Victim met attackers through Grindr, was threatened and forced to hand over phone and bank details. Money was subsequently stolen from his account.",medium,Andrew James Tanswell and George Phoenix Leilua,-33.8688,151.2093
Melbourne man attacked by TikTok-inspired assailant via Grindr,https://www.theguardian.com/australia-news/2025/jun/03/christian-keryakus-grindr-attacks-tiktok-vigilante-videos-ntwnfb,2024-08-01T00:00:00Z,assault,2024-08-01,"Melbourne, Victoria",gay,First victim attacked by 19-year-old Christian Keryakus who admitted to being inspired by vigilante videos on TikTok. Met victim through Grindr.,high,"Christian Keryakus, 19, inspired by TikTok vigilante videos",-37.8136,144.9631
Victoria Grindr attacks - 30+ arrested for targeting gay men,https://www.abc.net.au/news/2025-05-09/dating-app-lgbtqi-scammers-crime/105270744,2025-05-09T00:00:00Z,assault,2025-01-01,"Melbourne, Victoria",gay,"Victoria Police arrested over 30 individuals, primarily male teenagers aged 13-20, for attacks on men lured via Grindr. Victims were assaulted, robbed, and subjected to homophobic slurs. Some attacks were filmed and shared on social media.",high,"Over 30 individuals, male teenagers aged 13-20",-37.8136,144.9631
