incident_id,date_of_incident,incident_type,victim_identity,location,description,article_url,news_source,review_status,submitted_at
TEST-001,2026-01-25,harassment,gay_man,"Sydney, NSW",This is a test incident to verify the email alert system is working correctly.,https://example.com/test-article,Test Source,pending,2026-01-25T15:49:13.731456
TEST-001,2026-01-25,harassment,gay_man,"Sydney, NSW",This is a test incident to verify the email alert system is working correctly.,https://example.com/test-article,Test Source,pending,2026-01-25T16:14:34.634315
INC-20260125162127,,hate_speech,LGBTI,Australia-wide (banned speaker),"Pastor Steven Anderson, known for his anti-gay views, claimed that natural disasters in Australia were punishment from God because he was banned from the country. This statement targets the LGBTI community and spreads hate towards them.",,,pending,2026-01-25T16:21:30.700793
INC-20260125162130,,assault,transgender,"Geelong, Victoria",Andy Meddick's transgender daughter Kielan was physically attacked on the street in an apparent hate crime incident.,,,pending,2026-01-25T16:21:34.269787
INC-20260125162134,,threat,general_lgbtiq,Canberra,Rainbow Story Time with drag queen Betty Confetti was cancelled after receiving threats. The event aimed to promote inclusivity and diversity through storytelling for children and families in the community.,,,pending,2026-01-25T16:21:37.682253
INC-20260125162137,,assault,gay,Newcastle,"The family of John Russell, a gay hate crime victim, is waiting on the final report regarding the incident in Newcastle.",,,pending,2026-01-25T16:21:41.238790
INC-20260125162141,,assault,unknown,Blue Mountains National Park,"Neo-Nazi leaders have admitted to attacking a hiker in Blue Mountains National Park, but they claim innocence. The hiker was physically assaulted by the perpetrators.",,,pending,2026-01-25T16:21:44.743133
INC-20260125162144,,vandalism,general_lgbtiq,"Monash Freeway, Melbourne",Homophobic banners targeting Labor MP Julian Hill were hung over a Melbourne highway and later removed by police. The incident is being investigated as an act of vandalism.,,,pending,2026-01-25T16:21:48.185566
INC-20260125162148,,assault,gay,"Broulee, NSW",56-year-old Peter Keeley was lured via Grindr and fatally assaulted by teenagers. The perpetrators were later convicted of detaining Keeley with intent to commit grievous bodily harm.,,,pending,2026-01-25T16:21:51.903374
INC-20260125162151,,assault,gay,"Canberra, ACT",A man was assaulted by four individuals after being lured via Grindr in Canberra. The attack was part of a series of homophobic incidents in the area.,,,pending,2026-01-25T16:21:55.423790
INC-20260125162155,,assault,gay,"Melbourne, Victoria","Victoria Police arrested 13 individuals for attacks on gay men lured via dating apps including Grindr. Victims were assaulted, robbed, and subjected to homophobic abuse.",,,pending,2026-01-25T16:21:59.125250
INC-20260125162159,,assault,gay,"Sydney, NSW","Victim met attackers through Grindr, was threatened and forced to hand over phone and bank details. Money was subsequently stolen from his account.",,,pending,2026-01-25T16:22:02.631946
INC-20260125162202,,assault,gay,"Melbourne, Victoria",First victim attacked by 19-year-old Christian Keryakus who admitted to being inspired by vigilante videos on TikTok. Met victim through Grindr.,,,pending,2026-01-25T16:22:06.080317
INC-20260125162206,,assault,gay,"Melbourne, Victoria","Victoria Police arrested over 30 individuals, primarily male teenagers aged 13-20, for attacks on men lured via Grindr. Victims were assaulted, robbed, and subjected to homophobic slurs. Some attacks were filmed and shared on social media.",,,pending,2026-01-25T16:22:09.539475
INC-20260125162209,,assault,general_lgbtiq,Sydney CBD,Australie : une trentaine de suspects ont été arrêtés pour des guets-apens homophobes dans le centre-ville de Sydney.,,,pending,2026-01-25T16:22:12.917144
INC-20260125162212,,assault,transgender,"Fitzroy, Melbourne","Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",,,pending,2026-01-25T16:22:16.292170
INC-20260125162216,,assault,gay,"Melbourne area, Victoria",Multiple arrests have been made in Victoria in connection with attacks on individuals targeted through gay dating apps.,,,pending,2026-01-25T16:22:19.747790
INC-20260125162219,,vandalism,queer,Great Southern region,Shocking graffiti with the words 'Deport Queer' found in the WA Great Southern region.,,,pending,2026-01-25T16:22:23.153394
INC-20260125162223,,assault,unknown,farm in unspecified location,Big Brother star David Graham used a vile homophobic slur before assaulting a young man on his farm.,,,pending,2026-01-25T16:22:26.664538
INC-20260125162226,,assault,gay,"Sunshine West, Melbourne",A Victorian man was sentenced for attacking men he met on Grindr at his home in Sunshine West. He claimed to be inspired by TikTok vigilante videos.,,,pending,2026-01-25T16:22:30.097684
INC-20260125162230,,harassment,gay,Darlinghurst,A new wave of homophobic attacks targeting users of gay dating apps like Grindr has been reported in Darlinghurst. Victims have faced harassment and intimidation while using these apps in the area.,,,pending,2026-01-25T16:22:33.453312
INC-20260125162233,,assault,gay,Grindr meetup in Sunshine Coast,"A man was sentenced for attacking a gay man he met on Grindr, stating that the victim 'needed to learn his lesson'. The attack took place during their meetup in Sunshine Coast.",,,pending,2026-01-25T16:22:36.926248
INC-20260125162236,,assault,gay,Sydney CBD,Hundreds of dollars were raised for a convicted vigilante who physically attacked a gay individual in Sydney CBD. The incident sparked outrage within the LGBTIQ+ community and beyond.,,,pending,2026-01-25T16:22:40.339950
INC-20260125162240,,murder,gay,Sydney,An ex-police officer has pleaded not guilty to the murder of a gay Sydney couple. The incident has shocked the local community and raised concerns about violence against the LGBTIQ+ community.,,,pending,2026-01-25T16:22:43.780951
INC-20260125162243,,assault,transgender,Gold Coast,Community members have condemned the recent attack on a transgender person on the Gold Coast. The victim was physically assaulted in the area.,,,pending,2026-01-25T16:22:47.736583
INC-20260125162247,,hate_speech,general_lgbtiq,Sydney,The article discusses the need for more police powers to address racism and hatred following a neo-Nazi rally in Sydney.,,,pending,2026-01-25T16:22:51.174207
INC-20260125162251,,murder,gay,Sydney,The death of a US mathematician in Sydney is being investigated as a gay hate crime by an Australian inquest.,,,pending,2026-01-25T16:22:54.666220
INC-20260125162254,,murder,gay,Bondi Beach,"Nearly 30 years after a gay man fell from a cliff at Bondi Beach, the incident has been ruled a hate crime. The victim's sexual orientation was a factor in his death, indicating a targeted attack.",,,pending,2026-01-25T16:22:58.084302
INC-20260125162258,,murder,unknown,Sydney Cliff,A judge in Australia ruled that a fatal fall off a Sydney cliff 30 years ago was a hate crime. The victim's identity was not specified in the article.,,,pending,2026-01-25T16:23:01.708902
INC-20260125162301,,murder,gay,cliff in undisclosed location,"A gay man was found smashed to death at the bottom of a cliff, and the coroner determined it was a homophobic hate crime.",,,pending,2026-01-25T16:23:05.215493
INC-20260125162305,,murder,gay,Sydney,"An American man was found naked and dead in Sydney, Australia in 1988. The coroner determined that he was killed in a gay hate crime.",,,pending,2026-01-25T16:23:08.678507
INC-20260125162308,,murder,gay,Australia inquest did not specify a specific location,"A mathematician was killed because of his sexual orientation, highlighting the ongoing issue of violence against the LGBTIQ+ community in Australia.",,,pending,2026-01-25T16:23:12.090049
INC-20260125162312,,murder,gay,Sydney,The coroner found that Scott died as a result of a gay hate attack in Sydney. The specific details of the attack were not provided in the article.,,,pending,2026-01-25T16:23:15.413533
INC-20260125162315,,murder,transgender,Melbourne CBD,Five individuals have been charged with the violent murder of a Malaysian trans woman in Melbourne. The victim's identity was targeted in this tragic incident.,,,pending,2026-01-25T16:23:18.904267
INC-20260125162318,,assault,gay,Fried chicken shop in Sydney,"Two friends were physically attacked after sharing a kiss at a fried chicken shop, resulting in one person getting a black eye and the other being hospitalized.",,,pending,2026-01-25T16:23:22.195858
INC-20260125162322,,harassment,gay,Sydney,A gay man in Sydney filmed a homophobic attack at a petrol station where he was verbally harassed and threatened by another individual.,,,pending,2026-01-25T16:23:25.628134
INC-20260125162325,,assault,gay,Sydney CBD,A man was glassed for holding his boyfriend's hand in Sydney CBD. The attack was a targeted act of violence against the victim's sexual orientation.,,,pending,2026-01-25T16:23:29.101238
INC-20260125162329,,assault,unknown,Darlinghurst,A man was glassed in the face in a horror homophobic attack in Darlinghurst.,,,pending,2026-01-25T16:23:32.631221
INC-20260125162332,,assault,LGBT woman,Sale,A Gippsland LGBT woman was punched in a homophobic attack in Sale.,,,pending,2026-01-25T16:23:35.991899
INC-20260125162335,,assault,gay,Sydney,Cricketer Ben Stokes was praised for intervening to stop a group of men from attacking a gay couple in Sydney. The men were reportedly shouting homophobic slurs and threatening the couple before Stokes stepped in.,,,pending,2026-01-25T16:23:40.059781
INC-20260125162340,,vandalism,general_lgbtiq,Sydney,"A giant mural of 'Saint George Michael' in Sydney was vandalised with homophobic slurs, targeting the LGBTIQ+ community.",,,pending,2026-01-25T16:23:43.582313
INC-20260125162343,,murder,gay,Athens,"Four cops charged for inflicting fatal harm on gay activist Zak Kostopoulos in Athens, Greece.",,,pending,2026-01-25T16:23:47.062543
INC-20260125162347,,assault,gay,chicken shop in Sydney,A gay man was knocked out after kissing another man in a chicken shop in Sydney. The attack was believed to be motivated by homophobia.,,,pending,2026-01-25T16:23:50.513857
INC-20260125162350,,assault,gay,Perth,"Perth youths pleaded guilty to assaulting men they baited on Grindr, targeting individuals based on their sexual orientation.",,,pending,2026-01-25T16:23:54.019119
INC-20260125162354,,hate_speech,gay,Sydney gay suburbs,"Residents in Sydney gay suburbs received homophobic letters blaming them for the drought, indicating a targeted act of hate speech towards the LGBTQ+ community.",,,pending,2026-01-25T16:23:57.474911
INC-20260125162357,,hate_speech,gay,Sydney,"A person named Jesu blamed Sydney's gay community for the drought in a homophobic letter, displaying hate speech towards the LGBTIQ+ individuals.",,,pending,2026-01-25T16:24:01.141068
INC-20260125162401,,hate_speech,LGBTIQ+,Sydney,"A letter drop in Sydney blamed the drought on same-sex marriage, targeting the LGBTIQ+ community with hateful speech.",,,pending,2026-01-25T16:24:04.528526
INC-20260125162404,,threat,gay couple,train in unspecified location,"A homophobic man threatened a gay couple on a train, prompting a police search for the perpetrator.",,,pending,2026-01-25T16:24:07.872444
INC-20260125162407,,assault,transgender,railway tracks,A transgender woman shoved an officer onto railway tracks.,,,pending,2026-01-25T16:24:12.158393
INC-20260125162412,,harassment,unknown,train,A group of men spat alcohol on a teenage boy and made racist remarks about his skin color on a train.,,,pending,2026-01-25T16:24:15.543762
INC-20260125162415,,assault,gay,bar in Sydney,A man suffered a horrific head injury in a homophobic attack after kissing someone in a bar in Sydney.,,,pending,2026-01-25T16:24:18.921460
INC-20260125162418,,harassment,gay,Sunshine Coast,"Hate mail was left in the letterbox of a gay couple on the Sunshine Coast, targeting them based on their sexual orientation.",,,pending,2026-01-25T16:24:22.331269
INC-20260125162422,,threat,gay,"Sunshine Coast, Queensland",A gay couple in Queensland received threatening letters after the Ye vote.,,,pending,2026-01-25T16:24:25.797326
INC-20260125162425,,assault,unknown,Sydney,A teenager threw acid on their boyfriend after he refused to marry her in Sydney.,,,pending,2026-01-25T16:24:29.388065
INC-20260125162429,,assault,gay,Sydney,A man set his boss on fire allegedly due to 'unwanted gay advances'. The victim suffered severe burns as a result of the attack.,,,pending,2026-01-25T16:24:32.845542
INC-20260125162432,,assault,gay,Darlinghurst,"Police did not warn the LGBTI community about recent gay bashings in Darlinghurst, leading to concerns about safety and lack of communication.",,,pending,2026-01-25T16:24:36.403940
INC-20260125162436,,assault,gay men,Perth,A Grindr teen photo was used to lure gay men to Perth where they were subjected to bashings.,,,pending,2026-01-25T16:24:39.825553
INC-20260125162439,,assault,gay,Perth,A man has been sentenced to six and a half years in prison for carrying out gay bashings in Perth.,,,pending,2026-01-25T16:24:43.353861
