title,url,source_date,source,query
Conviction in Gay - Bashing Murder of Scott Johnson Overturned,https://www.advocate.com/crime/2022/11/18/conviction-gay-bashing-murder-scott-johnson-overturned,20221118T161500Z,advocate.com,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Community Condemns Attack On Transgender Person On The Gold Coast,http://www.starobserver.com.au/news/community-condemns-attack-on-transgender-person-on-the-gold-coast/239547,20251104T060000Z,starobserver.com.au,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
"Five killed , 18 wounded in Colorado LGBTQ nightclub shooting , suspect held",https://www.daily-sun.com/post/657548/Five-killed-18-wounded-in-Colorado-LGBTQ-nightclub-shooting,20221121T041500Z,daily-sun.com,"""transphobic violence"" AND Australia"
"Five killed , 18 wounded in Colorado LGBTQ nightclub shooting",https://www.bangkokpost.com/world/2442169/five-killed-18-wounded-in-colorado-lgbtq-nightclub-shooting,20221120T164500Z,bangkokpost.com,"""transphobic violence"" AND Australia"
"Five Killed , 18 Wounded In Colorado LGBTQ Nightclub Shooting",https://www.ibtimes.com/five-killed-18-wounded-colorado-lgbtq-nightclub-shooting-3638224,20221120T151500Z,ibtimes.com,"""transphobic violence"" AND Australia"
Former Cop Reveals Horrific Gay Bashings by Police,https://news.yahoo.com/former-cop-reveals-horrific-gay-145435858.html,20221005T163000Z,news.yahoo.com,"""gay bashing"" AND Australia"
Andy Meddick transgender daughter Kielan attacked on the street | news . com . au Australia leading news site,https://www.news.com.au/national/victoria/andy-meddicks-daughter-kielan-attacked-on-the-street/news-story/3b9a619864793bed195d8227d875d319,20211119T053000Z,news.com.au,"""transgender"" AND ""attacked"" AND Australia"
Beaten and handcuffed for wearing a woman outfit,https://www.msn.com/en-us/news/world/beaten-and-handcuffed-for-wearing-a-womans-outfit/ar-AAQSrCZ,20211119T014500Z,msn.com,"""transgender"" AND ""assaulted"" AND Australia"
Beaten and handcuffed for wearing a woman outfit,https://www.msn.com/en-us/news/world/beaten-and-handcuffed-for-wearing-a-woman-s-outfit/ar-AAQSrCZ,20211119T013000Z,msn.com,"""transgender"" AND ""assaulted"" AND Australia"
Community in mourning after sistergirl stabbed to death,https://www.westernadvocate.com.au/story/8785653/community-in-mourning-after-sistergirl-stabbed-to-death/,20241008T071500Z,westernadvocate.com.au,"""transgender"" AND ""stabbed"" AND Australia"
