title,url,source_date,incident_type,date,location,victim_identity,description,severity,perpetrator_info,latitude,longitude
200 grapevines uprooted in alleged hate crime in Jordan Valley settlement,https://www.timesofisrael.com/liveblog_entry/200-grapevines-uprooted-in-alleged-hate-crime-in-jordan-valley-settlement/,20190121T090000Z,vandalism,,Jordan Valley settlement,unknown,200 grapevines were uprooted in an alleged hate crime incident in the Jordan Valley settlement.,medium,,,
Melbourne : Amokfahrer stach zuvor auf schwulen Bruder ein,https://www.queer.de/detail.php?article_id=28044,20190121T011500Z,assault,,Melbourne,gay,"The 26-year-old Dimitrious Gargasoulas, who killed five people on Friday, had previously critically injured his brother: 'I will kill all gays.'",high,,-37.8142454,144.9631732
Egypt sentences TV host to jail over gay interview,https://www.timesofisrael.com/liveblog_entry/egypt-sentences-tv-host-to-jail-over-gay-interview/,20190120T204500Z,other,,Egypt,gay,Egypt sentences TV host to jail over gay interview,medium,TV host,-27.676714,152.0984109
Dalston attack : Nine sentenced after people  sprayed with noxious substance  near London gay club,https://www.independent.co.uk/news/uk/crime/dalston-attack-london-gay-club-gang-superstore-violence-gbh-a8735361.html,20190118T223000Z,assault,2019-01-18,"Dalston, London",gay,Nine individuals were sentenced after spraying people with a noxious substance near a London gay club. The group also shouted homophobic abuse at the victims.,high,,,
Amnesty calls for Mathias Cormann to condemn Chechnya anti - gay purge,http://www.starobserver.com.au/news/international-news-news/amnesty-calls-for-mathias-cormann-to-condemn-chechnyas-anti-gay-purge/175454,20190118T073000Z,anti-LGBTI violence,,Chechnya,LGBTI,Amnesty International is calling for Mathias Cormann to condemn the resurgence of anti-LGBTI violence in Chechnya during the World Economic Forum in Davos.,high,,,
Together » Blog Archive » Australian neo - Nazis deface elderly care facility housing Holocaust survivors,http://amgathering.org/2019/01/15110/australian-neo-nazis-deface-elderly-care-facility-housing-holocaust-survivors/,20190115T211500Z,vandalism,,elderly care facility housing Holocaust survivors,general_lgbtiq,"Australian neo-Nazis defaced an elderly care facility housing Holocaust survivors, targeting the vulnerable residents with hateful graffiti.",medium,Australian neo-Nazis,,
Hero saved female paramedic from being attacked in Melbourne by Rainbow Serpent festivalgoer,https://www.dailymail.co.uk/news/article-6651525/Hero-saved-female-paramedic-attacked-Melbourne-Rainbow-Serpent-festivalgoer.html,20190131T054500Z,assault,,"Rainbow Serpent festival, Lexton",female paramedic,"A female paramedic was saved from being attacked by a festivalgoer at the Rainbow Serpent festival in Lexton, Melbourne. The festivalgoer was subdued by a hero before causing harm to the paramedic.",medium,Rainbow Serpent festivalgoer,,
Paramedic horrifically bashed after treating man suspected of coming back from Rainbow Serpent,https://www.dailymail.co.uk/news/article-6650375/Paramedic-horrifically-bashed-treating-man-suspected-coming-Rainbow-Serpent.html,20190130T234500Z,assault,,Melbourne CBD,unknown,A paramedic was horrifically bashed after treating a man suspected of coming back from Rainbow Serpent festival in Melbourne CBD.,high,,-37.8141705,144.9655616
Ποινικές διώξεις σε δύο άτομα για τον ξυλοδαρμό του Τζήλου,http://athina984.gr/wp-site/2019/01/29/poinikes-dioxeis-se-dyo-atoma-gia-ton-xylodarmo-toy-tziloy/,20190129T110000Z,assault,,Αθήνα,general_lgbtiq,Two individuals are facing criminal charges for the assault of Tzilos in Athens.,medium,,-35.3459329,149.1534339
Lismore rainbow crossing vandalised with biblical message during LGBTI festival,http://www.starobserver.com.au/news/national-news/new-south-wales-news/lismore-rainbow-crossing-vandalised-with-biblical-message-during-lgbti-festival/174807,20190102T054500Z,vandalism,,Lismore,general_lgbtiq,A recently unveiled rainbow crossing in Lismore was vandalised with biblical graffiti during an LGBTI festival.,low,,-28.8077608,153.2791883
