review_priority,review_issues,review_action,review_notes,title,url,location,latitude,longitude,incident_type,victim_identity,date,source_date,description,severity,perpetrator_info,year_found,found_at,search_query
5,Possibly Non-LGBTIQ+,,,Melbourne Neo - Nazis Target Drag Performer At Family - Friendly Youth Fest,https://www.starobserver.com.au/news/melbourne-neo-nazis-target-drag-performer-at-family-friendly-youth-fest/217074,Melbourne,-37.8142454,144.9631732,harassment,drag performer,,20221003T080000Z,"A drag performer was targeted by Melbourne Neo-Nazis at a family-friendly youth festival, facing harassment and intimidation.",medium,Melbourne Neo-Nazis,,2025-12-04T05:08:12.349855,"""hate speech"" AND (gay OR LGBTIQ OR transgender) AND Australia"
5,Possibly Non-LGBTIQ+,,,Socialite charged over spraying  Roxy is a c ** t  on the PR queen office,https://www.dailymail.co.uk/news/article-9421539/Socialite-charged-spraying-Roxy-c-t-PR-queens-office.html,PR queen office in Sydney CBD,-33.8688,151.2093,vandalism,unknown,,20210401T060000Z,A socialite has been charged for spraying derogatory language on the office of a PR queen in Sydney CBD. The graffiti included offensive language targeting the PR queen.,medium,Socialite,,,
5,Possibly Non-LGBTIQ+,,,Miss Universe Australia Maria Thattil says men spat at her brother after Mardi Gras in Sydney,https://www.dailymail.co.uk/news/article-11805131/Miss-Universe-Australia-Maria-Thattil-says-men-spat-brother-Mardi-Gras-Sydney.html,Sydney CBD,-33.8747234,151.2053644,harassment,unknown,,20230301T034500Z,Miss Universe Australia Maria Thattil reported that men spat at her brother after Mardi Gras in Sydney CBD.,low,,,,
5,Non-Australian; Vague Location; Possibly Non-LGBTIQ+,,,"Voices of Viatris : For Nathan Wilson , Family Is a Change Worth Fighting For",https://www.finanznachrichten.de/nachrichten-2023-01/58192720-voices-of-viatris-for-nathan-wilson-family-is-a-change-worth-fighting-for-200.htm,"New South Wales, Australia",-33.8475744,151.0726201,assault,unknown,not specified,20230131T154500Z,"Nathan Wilson was violently attacked by strangers one evening while walking in a town in New South Wales, Australia.",high,not specified,,,
5,Non-Australian; Possibly Non-LGBTIQ+,,,Owen Jones : Left - wing commentator attacked in  blatant premeditated assault  outside London pub,https://www.independent.co.uk/news/uk/crime/owen-jones-attack-pub-far-right-assault-a9063816.html,London pub,-33.8583598,151.1844622,assault,unknown,2019-08-18,20190817T210000Z,Left-wing commentator Owen Jones was attacked in a blatant premeditated assault outside a London pub.,medium,Perpetrators not specified,,,
5,Possibly Non-LGBTIQ+,,,"After 30 Years , Arrest Is Made In Alleged Australian Hate Crime Killing Initially Ruled A Suicide",https://www.wgbh.org/news/local-news/2020/05/21/after-30-years-arrest-is-made-in-alleged-australian-hate-crime-killing-initially-ruled-a-suicide,Sydney,-33.8698439,151.2082848,assault,unknown,not specified,20200522T003000Z,"After 30 years, an arrest has been made in an alleged hate crime killing that was initially ruled a suicide in Sydney.",high,not specified,,,
5,Possibly Non-LGBTIQ+,,,Sydney Man Found Guilty Over Threats To Release Photos Of Neighbour Grindr Hookup,https://www.starobserver.com.au/news/sydney-man-found-guilty-of-threatening-to-release-photos-from-neighbours-grindr-hookup/218264,Sydney,-33.8698439,151.2082848,threat,unknown,,20221114T173000Z,A 60-year old man threatened to post images of his neighbour's Grindr hookup in every 'letterbox and lamppost' unless they turned down their music.,low,60-year old man,,,
5,Possibly Non-LGBTIQ+,,,Group of men spat alcohol on teenage boy and told him he had  skin colour of a dog  on train,https://www.independent.co.uk/news/uk/crime/group-spit-alcohol-teenage-boy-hate-crime-racial-abuse-preston-park-hassocks-sussex-a8649006.html,train,-32.0517924,115.7454687,harassment,unknown,,20181123T213000Z,A group of men spat alcohol on a teenage boy and made racist remarks about his skin color on a train.,medium,Group of men,2018.0,2025-12-03T08:14:28.468096,
5,Possibly Non-LGBTIQ+,,,the dog on the tucker box ... | Your Democracy,http://www.yourdemocracy.net.au/drupal/node/37247,Gundagai,-35.0614045,148.1059794,vandalism,unknown,,20190818T004500Z,"The much-loved Dog on the Tuckerbox statue in Gundagai was vandalised last month, causing damage to the 87-year-old bronze statue.",medium,,,,
5,Non-Australian; Possibly Non-LGBTIQ+,,,George Floyd statue vandalised police investigating Brooklyn hate crime,https://www.9news.com.au/world/george-floyd-statue-vandalised-police-investigating-brooklyn-hate-crime/9a5bd3a0-1a27-4258-b317-6e24e038c22f,Brooklyn,-33.5479285,151.2260175,vandalism,unknown,,20210625T070000Z,"A statue of George Floyd was vandalized in Brooklyn, with police investigating it as a hate crime.",medium,,,,
5,Possibly Non-LGBTIQ+,,,"Thirty Years Later , Australia Judge Rules Fatal Fall Off Sydney Cliff As a Hate Crime",https://article.wn.com/view/2017/11/30/Thirty_Years_Later_Australia_Judge_Rules_Fatal_Fall_Off_Sydn/,Sydney Cliff,-33.8525478,151.2104617,murder,unknown,,20171130T184500Z,A judge in Australia ruled that a fatal fall off a Sydney cliff 30 years ago was a hate crime. The victim's identity was not specified in the article.,critical,unknown,2017.0,2025-12-03T06:44:44.915541,
5,Non-Australian; Vague Location; Possibly Non-LGBTIQ+,,,Far - right Hate Attack Shows Extremists Emboldened,https://www.miragenews.com/far-right-hate-attack-shows-extremists-518559/,"Perth, Western Australia",-31.9505,115.8605,assault,First Nations woman and her daughter,,20210224T000000Z,The Greens have responded to sickening reports of a violent assault by a man with a swastika on a First Nations woman and her daughter in Western Australia.,high,man with a swastika,,,
5,Possibly Non-LGBTIQ+,,,Fears of escalating violence as online  hate factorie sow division within Australia Indian community | Australia news,https://www.theguardian.com/australia-news/2021/mar/19/fears-of-escalating-violence-as-online-hate-factories-sow-division-within-australias-indian-community,Sydney,-33.8698439,151.2082848,assault,Sikh,,20210319T060000Z,Sikh students attacked in Sydney as tensions over ongoing farmers protests in India spread to Australia,medium,,,,
5,Possibly Non-LGBTIQ+,,,"Brisbane Holland Park mosque vandalised with swastika , accused Christchurch shooter name on walls - ABC News ( Australian Broadcasting Corporation ) ",https://www.abc.net.au/news/2019-09-11/brisbane-mosque-vandalised-with-christchurch-references/11501684,"Holland Park mosque, Brisbane",-27.5272318,153.0756128,vandalism,unknown,2019-09-11,20190911T081500Z,The Holland Park mosque in Brisbane was vandalised with spray-painted right-wing symbols and a reference to the Christchurch shooter overnight. The mosque's president was not surprised by the incident.,medium,,,,
5,Possibly Non-LGBTIQ+,,,"Eggs thrown at baby and mother in  racially aggravated  attack , police say",https://www.independent.co.uk/news/uk/crime/eggs-baby-mother-racist-attack-worcester-west-mercia-police-a9091141.html,retail park,-37.7174993,144.9222338,assault,unknown,2019-09-04,20190904T114500Z,A racially aggravated attack where eggs were thrown at a baby and mother outside a retail park. Police have stated they will not tolerate such unprovoked assaults.,medium,,,,
