index,title,location,url
0,Australia | Incendios forestales | Steven Anderson | Pastor ,Australia-wide (banned speaker),https://larepublica.pe/mundo/2020/01/07/australia-incendios-forestales-steven-anderson-pastor-anti-gay-afirma-que-desastres-naturales-es-castigo-de-dios-porque-fue-expulsado-del-pais-homosexualidad-lgbti-rddr/
9,Perth Grindr attack - victim tasered and teeth knocked out,"Perth, Western Australia",https://www.fusemagazine.com.au/lgbtiq-news/australia/1148-five-teenagers-jailed-for-grindr-assault-scheme.html
10,Perth Grindr scheme - multiple victims robbed and assaulted,"Perth, Western Australia",https://www.abc.net.au/news/2025-09-23/teenagers-detention-grindr-attacks-men-perth/105807670
24,Court finds Anti - trans campaigner Kirralie Smith unlawfull,"New South Wales Civil and Administrative Tribunal, Sydney",https://www.outinperth.com/court-finds-anti-trans-campaigner-kirralie-smith-unlawfully-vilified-two-trans-women/
29,Australia coroner : American mathematician died in hate crim,"Fair Day festival, Rushcutters Bay",https://www.upi.com/Top_News/World-News/2017/11/30/Australian-coroner-says-student-died-of-hate-crime-not-suicide-in-1988/9461512058149/
34,Mathematician killed because he was gay : Australia inquest,Australia inquest did not specify a specific location,http://www.enca.com/world/mathematician-killed-because-he-was-gay-australia-inquest
65,Neo - Nazis Attack Gay Bar In Ukraine,Ukraine,https://www.starobserver.com.au/news/neo-nazis-attack-gay-bar-in-ukraine/207538
75,Trans woman flees Malaysia after wearing hijab and being  as,Malaysia,https://english.alaraby.co.uk/news/trans-woman-flees-malaysia-after-charge-wearing-hijab
96,Together » Blog Archive » Australian neo - Nazis deface elde,elderly care facility housing Holocaust survivors,http://amgathering.org/2019/01/15110/australian-neo-nazis-deface-elderly-care-facility-housing-holocaust-survivors/
104,The two brothers arrested in connection with the alleged att,Chicago,"https://home.nzcity.co.nz/news/article.aspx?id=285026&fm=psp,tst"
108,Muslim mother horror after racist vandals graffiti a swastik,Muslim mother's home in Bankstown,https://www.dailymail.co.uk/news/article-6828557/Muslim-mothers-horror-racist-vandals-graffiti-swastika-word-dog-white-BMW.html
116,Man slashed with machete in  homophobic attack  in London,London,https://www.independent.co.uk/news/uk/crime/machete-attack-london-homophobic-hate-crime-lgbt-southwark-met-police-a9018251.html
117,  Suspiciou noose found hanging near student housing in poss,student housing,https://www.independent.co.uk/news/world/americas/noose-stanford-university-california-racist-student-housing-hate-crime-a9008431.html
119,Woman punched unconscious after telling man who followed her,London,https://www.independent.co.uk/news/uk/crime/woman-man-turn-down-beaten-unconscious-manchester-not-interested-a9005661.html
122,Festivales estadounidenses cancelan al dúo sudafricano Die A,"Adelaida, Australia",https://www.elmundo.es/cultura/musica/2019/08/21/5d5c3166fdddff023b8b4601.html
123,Owen Jones : Left - wing commentator attacked in  blatant pr,London pub,https://www.independent.co.uk/news/uk/crime/owen-jones-attack-pub-far-right-assault-a9063816.html
134,"Rainbow walk in Adelaide , Australia vandalised with  Jesus ","Adelaide, Australia",https://www.pinknews.co.uk/2019/10/28/adelaide-rainbow-walk-graffiti-jesus-loves-you-australia/
154,Arrest Made In 1988 Hate Crime Killing Of Gay American At Au,Australian Cliff,https://www.huffpost.com/entry/arrest-scott-johnson-cliff-killing_n_5ebac4d4c5b63c0fa177cd63
164,Man found guilty twice of  gay panic  murder wins right to a,"Adelaide, South Australia",https://www.adelaidenow.com.au/news/south-australia/man-found-guilty-twice-of-gay-panic-murder-wins-right-to-appeal-fresh-conviction/news-story/c5cadc77b71b1a06eba6bbbf2bbb4b66?nk=a56fd86f11bc0886826d1fca3bdf6a81-1593552741
166,Murdered pharmacist Jessica Patel died after sad string of c,"Maitland, New South Wales",https://www.yorkshirepost.co.uk/news/crime/murdered-pharmacist-jessica-patel-died-after-sad-string-callous-and-cruel-abuse-review-her-death-reveals-2917932
178,Far - right Hate Attack Shows Extremists Emboldened,"Perth, Western Australia",https://www.miragenews.com/far-right-hate-attack-shows-extremists-518559/
189,George Floyd statue vandalised police investigating Brooklyn,Brooklyn,https://www.9news.com.au/world/george-floyd-statue-vandalised-police-investigating-brooklyn-hate-crime/9a5bd3a0-1a27-4258-b317-6e24e038c22f
207,Australian man pleads guilty to anti - gay hate crime in mur,cliff in Australia,https://www.cbsnews.com/news/scott-johnson-murder-scott-white-guilty-plea-gay-hate-crime-fall-australia-cliff-1988/
213,Homophobic Attack On Student Outside Gay Nightclub Shocks Lo,London,https://www.starobserver.com.au/news/homophobic-attack-on-student-outside-gay-nightclub-shocks-london/210126
227,Out Gay Australian MP Tim Wilson House Attacked By Vandals,Tim Wilson's house,https://www.starobserver.com.au/news/out-gay-australian-mp-tim-wilsons-house-attacked-by-vandals/212421
250,Murder of Indigenous Teenager in Western Australia Brings De,"Geraldton, Western Australia",https://thediplomat.com/2022/10/murder-of-indigenous-teenager-in-western-australia-brings-despair-deja-vu/
266,"Voices of Viatris : For Nathan Wilson , Family Is a Change W","New South Wales, Australia",https://www.finanznachrichten.de/nachrichten-2023-01/58192720-voices-of-viatris-for-nathan-wilson-family-is-a-change-worth-fighting-for-200.htm
273,Australian man pleads guilty to the 1988 murder of a Califor,California,https://www.foxnews.com/world/australian-man-pleads-guilty-1988-murder-california-man-gay-meeting-place
279,Australia news live : NSW premier calls Mark Latham a  bigot,"New South Wales Parliament House, Sydney",https://www.msn.com/en-gb/news/uknews/australia-news-live-inquiry-calls-for-changes-to-how-government-sends-troops-to-war/ar-AA19hDxN
283,Mark Latham Investigated By NSW Police Over Vile Alex Greenw,"NSW Parliament House, Sydney",https://www.pedestrian.tv/news/mark-latham-tweet-alex-greenwich/
